pdbCompoundId,pdbStructureId
007,2bua
008,2buc
010,7bi5
010,4ii8
017,6xd2
022,3qj5
024,2qbs
028,2z50
032,5hes
032,3og7
039,2chw
039,2wxf
03P,3poz
03P,3rcd
041,1x7b
041,6qy8
041,6qy7
047,2pjl
04J,4kn1
057,3fqh
05X,7exd
066,3gwt
07J,3tt0
084,1ouk
08D,6ysx
08D,6y08
08H,6huo
08H,3u5j
08J,3u5k
08J,5te8
08Y,7jvr
08Y,6vms
08Y,3ua1
093,4d0l
093,2chz
093,4d0m
093,2x6j
097,2jih
097,1r55
097,3hy7
099,3hyg
09L,5ds3
09L,4tvj
09L,3u9y
0H6,3vf6
0HK,5dsg
0HK,4daj
0HK,5cxv
0HK,6ol9
0LI,4c8b
0LI,6eg9
0LI,4u0i
0LI,6tu9
0LI,3zos
0LI,6p3d
0LI,3ik3
0LI,4qrc
0MO,3i8v
0MO,3k4s
0RF,4ekl
0RP,4ews
0SX,4f9c
0V5,3ujs
0WM,4g5j
0XZ,4gv1
0YK,7f3o
111,1g49
117,1hwk
11X,3ftv
12C,2gdo
12H,1m6w
12Q,5fe1
12Q,5t4u
12Q,5s8l
12Q,4qst
130,1gj5
13P,1ney
13P,1wpq
13P,1ado
13P,2wm1
13P,1fdj
147,4ccc
147,2wgz
14A,1t4v
14M,4hfr
14W,1qw5
152,1xl8
152,1s5o
152,1ndf
156,1fcz
15M,2f38
16A,3p73
16D,2qk9
16D,4bg1
16U,3dt0
16V,4hiq
172,3kr0
173,1sze
177,1ta6
184,1fcx
196,1yye
197,1o4a
198,4okb
198,1z95
198,4la0
198,4fia
19A,2ojg
19U,2zfp
1AC,1y20
1AC,3fe7
1AC,2gv2
1AC,3ov1
1AU,3f3t
1AU,3hv7
1AW,3f3u
1BN,5s8m
1BN,3pb9
1BN,2afx
1BO,1yky
1BO,3et2
1BO,1okx
1BO,3s3e
1BO,1ooh
1C2,2f6t
1C9,4i23
1CN,2hoc
1DA,1add
1DO,4bc7
1DO,3k83
1E8,6yg2
1E8,5yu9
1E8,5p9i
1E8,6l8l
1FL,3d2t
1FL,2bxe
1FN,3ce3
1FN,6oko
1IQ,1z8n
1J4,4j53
1K0,4j1p
1K0,4j3i
1K5,4jc5
1KD,7na8
1KS,4jkv
1KX,5u98
1KX,3vrj
1KX,3vri
1KX,3upr
1LT,4jps
1N1,3lfa
1N1,5h2u
1N1,7erk
1N1,2gqg
1N1,5vcv
1N1,5owr
1N1,5i9y
1N1,3sxr
1N1,2zva
1N1,2y6o
1N1,4qms
1N1,3k54
1N1,6fnm
1N1,5bvw
1N1,3g5d
1O8,4k4j
1OE,7f8u
1OH,2zas
1PG,6fsd
1PG,2znw
1PG,3g9h
1PG,1i4f
1PG,1pin
1PG,3noi
1PG,5vwz
1PG,2xz4
1PG,5w0g
1PG,6bbe
1PG,5nn0
1PG,6byy
1PG,2arv
1PG,4imn
1PG,3l0b
1PG,5uqc
1PG,2arp
1PG,5urv
1PG,1e0b
1PG,6z8p
1PU,1gih
1TA,5ufs
1TB,1t9a
1TB,1yi1
1WE,4xp9
1XJ,6qgh
1XJ,4lvt
1XJ,4qnq
1YE,4lol
1YE,4qxo
201,2b0m
205,2f8i
20A,3d3p
20J,4lv9
210,2f89
211,3h7c
219,1o4i
21B,4m48
21U,2zgb
